index,id,time,link,message,like,share,comment
479,1282973728458676_1779447532144624,1533219221,https://www.facebook.com/CH3Thailand/videos/1779447532144624/,"""ครูลืมไปแล้วเหรอ ว่าเราสร้างบ้านโอบอุ้มมาเพื่ออะไร"" ดูสด #ข้ามสีทันดร พร้อมกันตอนนี้ทางทีวี #ช่อง33 ดูออนไลน์ คลิก ch3thailand.com/live/33 หรือดูผ่านแอปพลิเคชัน #Ch3Thailand",372,9,21
480,1282973728458676_1778926952196682,1533193201,https://www.facebook.com/CH3Thailand/videos/1778926952196682/,"""บางทีเราต้องถามตัวเองซะใหม่นะ ว่าทำไมเราต้องทำให้ชีวิตเจอแต่เรื่องยากๆ"" เที่ยงวัน ให้คำแนะนำและเตือนสติ ดวล ได้ดีมากเลยค่ะ รับชมละครย้อนหลัง ข้ามสีทันดร EP.12 ได้ที่ลิ้งค์นี้ค่ะ http://www.ch3thailand.com/news/scoop/12994 #ข้ามสีทันดร #Ch3Thailand",268,6,3
481,1282973728458676_1778739852215392,1533182895,https://www.facebook.com/CH3Thailand/videos/1778739852215392/,Live #ตลาดนัดดาราวิก3พระราม4 #อิ่มช้อปอิ่มบุญ มาร่วมช้อป กิน จุใจ ที่ อาคารมาลีนนท์ พระราม4,1386,122,319
482,1282973728458676_1778668478889196,1533182400,https://www.facebook.com/CH3Thailand/videos/1778668478889196/,"""กว่าที่เราจะดึงเที่ยวันกลับมาได้ มันไม่ใช่เรื่องง่ายเลย"" คุณพ่อพูดได้ดีมากค่ะ เป็นตัวละครที่ทัศนคติดีสุดๆ รับชมละครย้อนหลัง ข้ามสีทันดร EP.12 ได้ที่ลิ้งค์นี้ค่ะ http://www.ch3thailand.com/news/scoop/12994 #ข้ามสีทันดร #Ch3Thailand",356,7,8
483,1282973728458676_1777854668970577,1533135152,https://www.facebook.com/CH3Thailand/videos/1777854668970577/,"""ขอบคุณ...คุณเที่ยงนะคะ"" ดูสด #ข้ามสีทันดร พร้อมกันตอนนี้ทางทีวี #ช่อง33 ดูออนไลน์ คลิก ch3thailand.com/live/33 หรือดูผ่านแอปพลิเคชัน #Ch3",433,6,10
484,1282973728458676_1777296415693069,1533124801,https://www.facebook.com/CH3Thailand/videos/1777296415693069/,ก่อนละครจะออนแอร์ในวันพฤหัสบดีหน้า มาฟังเพลงเพราะ Official MV #ใจไม่ปล่อยตัวไม่ไป Ost.#นางบาป จากศิลปิน แนน วาทิยา กันก่อนค่ะ สามารถติดตามได้ที่ https://youtu.be/GsYZ8Zyf3JY #ChandelierMusic #เพลงประกอบละครช่อง3 #Ch3ThailandMusic,479,20,13
485,1282973728458676_1777516822337695,1533121201,https://www.facebook.com/CH3Thailand/videos/1777516822337695/,ฉันไม่ใช่นายหญิงของนาย 😵😵😵 เมื่อวานรักกันดี๊ดี วันนี้จะตีกันซะแล้วเหรอ #นักสู้เทวดา #จันทร์ถึงศุกร์ #ช่อง33 เจอกัน 19.05 น. นะคะ #ขอโดนเทซักทีสองที,267,3,1
486,1282973728458676_1777190149037029,1533114001,https://www.facebook.com/CH3Thailand/videos/1777190149037029/,คุณนัยน่ารักมากๆ มีมาแอบฟังเสียงลูก ตอนเมียหลับด้วย 😍😍 รับชมละครย้อนหลัง เกมเสน่หา EP.12 ได้ที่ลิ้งค์นี้ค่ะ http://www.ch3thailand.com/news/scoop/12966 #เกมเสน่หา #Ch3Thailand,1426,,15
487,1282973728458676_1777156689040375,1533103201,https://www.facebook.com/CH3Thailand/videos/1777156689040375/,"""ฉันจะได้เป็นยายแล้ว"" แม่วิดูตื่นเต้นมาก เป็นคุณยายที่แซ่บจริงๆ ค่ะ 😆😆 รับชมละครย้อนหลัง เกมเสน่หา EP.12 ได้ที่ลิ้งค์นี้ค่ะ http://www.ch3thailand.com/news/scoop/12966 #เกมเสน่หา #Ch3Thailand",3480,72,7
488,1282973728458676_1776260325796678,1533048991,https://www.facebook.com/CH3Thailand/videos/1776260325796678/,"""ผมอยากให้เราใช้เวลาที่เหลือ ด้วยกันอย่างมีความสุขได้มั้ยครับ"" คุณนัยวันนี้น่าสงสารมากๆ จริงๆ ค่ะ ดูสด #เกมเสน่หา พร้อมกันตอนนี้ทางทีวี #ช่อง33 ดูออนไลน์ คลิก ch3thailand.com/live/33 หรือดูผ่านแอปพลิเคชัน #Ch3Thailand",1908,99,53
489,1282973728458676_1776198392469538,1533046304,https://www.facebook.com/CH3Thailand/videos/1776198392469538/,"""นายไม่มีวันเป็นครอบครัวฉัน...ไม่มีวัน"" คุุณนกโกรธแรงมาก สงสารคุณนัยจังเลย ดูสด #เกมเสน่หา พร้อมกันตอนนี้ทางทีวี #ช่อง33 ดูออนไลน์ คลิก ch3thailand.com/live/33 หรือดูผ่านแอปพลิเคชัน #Ch3Thailand",1218,48,21
