Weekday,timeInterval,checkHashtags,index,likeRank
Sunday,9-12,1,402,medium
Sunday,9-12,0,403,low
Sunday,6-9,1,404,low
Sunday,6-9,0,405,low
Sunday,6-9,1,406,low
Sunday,6-9,0,407,low
Sunday,6-9,1,408,low
Sunday,6-9,0,409,medium
Sunday,6-9,1,410,low
Sunday,6-9,0,411,low
Sunday,6-9,0,412,low
Sunday,3-6,1,413,low
Sunday,3-6,1,414,low
Sunday,3-6,1,415,low
Sunday,3-6,1,416,low
Sunday,0-3,1,417,low
Sunday,0-3,1,418,low
Sunday,0-3,1,419,low
Sunday,0-3,1,421,low
Sunday,0-3,1,422,low
Sunday,0-3,1,423,low
Saturday,21-24,1,424,low
Saturday,21-24,1,425,low
Saturday,21-24,1,426,low
Saturday,12-15,1,427,medium
Saturday,12-15,1,428,medium
Saturday,9-12,1,430,low
Saturday,9-12,1,431,medium
Saturday,9-12,1,432,low
Saturday,9-12,0,433,medium
Saturday,6-9,0,434,low
Saturday,6-9,1,435,low
Saturday,6-9,0,436,low
Saturday,6-9,0,437,low
Saturday,6-9,1,438,low
Saturday,6-9,1,439,low
Saturday,6-9,1,440,low
Saturday,6-9,1,441,low
Saturday,6-9,1,442,low
Saturday,6-9,0,443,low
Saturday,3-6,0,444,low
Saturday,3-6,1,445,low
Saturday,3-6,0,446,low
Saturday,3-6,1,447,low
Saturday,3-6,0,448,low
Saturday,3-6,0,449,low
Saturday,0-3,1,452,low
Saturday,0-3,1,453,low
Saturday,0-3,1,454,low
Saturday,0-3,1,455,low
Friday,21-24,1,456,low
Friday,21-24,1,457,low
Friday,21-24,1,458,low
Friday,12-15,0,461,medium
Friday,12-15,0,462,low
Friday,12-15,1,463,low
Friday,12-15,1,464,low
Friday,12-15,1,465,medium
Friday,12-15,1,466,low
Friday,12-15,1,467,low
Friday,9-12,0,468,medium
Friday,9-12,1,469,low
Friday,9-12,1,470,low
Friday,9-12,0,471,medium
Friday,9-12,0,472,low
Friday,9-12,0,473,low
Friday,9-12,0,474,low
Friday,9-12,0,475,low
Friday,9-12,1,476,low
Friday,9-12,0,477,low
Friday,9-12,0,478,low
